Rank,Title,Status,Study Results,conditions,conditions_head,Interventions,Funded Bys,Study Type,start_date,Locations,URL
593,Accuro Versus Traditional Landmark Palpation Technique to Determine Accurate Spinal Level for Procedures,Unknown status,No Results Available,Low Back Pain,"Muscle, Bone, and Cartilage Diseases",Other: identify L4/L5,Other,Observational,2016-02-01,"University of Virginia Health System, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT02862964
3659,A Study of LY2951742 in Participants With Chronic Cluster Headache,"Active, not recruiting",No Results Available,Chronic Cluster Headache,Nervous System Diseases,Drug: LY2951742|Drug: Placebo,Industry,Interventional,2015-06-01,"Mayo Clinic Hospital, Phoenix, Arizona, United States|California Medical Clinic for Headache, Santa Monica, California, United States|Stanford University Hospital, Stanford, California, United States|Colorado Neurological Institute, Englewood, Colorado, United States|Yale University School of Medicine, New Haven, Connecticut, United States|Yale University School of Medicine, New Haven, Connecticut, United States|New England Institute for Clinical Research, Stamford, Connecticut, United States|Mayo Clinic-Jacksonville, Jacksonville, Florida, United States|Tampa General Hospital, Tampa, Florida, United States|Michigan Head, Pain and Neurological Institute, Ann Arbor, Michigan, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Southwestern Medical Center - Dallas, Dallas, Texas, United States|Northwest Clinical Research Center, Bellevue, Washington, United States|West Virginia University Hospital, Morgantown, West Virginia, United States|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Gent, Belgium|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Liege, Belgium|For additional information regarding investigative sites for this trial, contact 1-888-545-5972 Mon - Fri, 9 AM to 4 PM or 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time or speak with your personal physician., Montreal, Canada|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Montréal, Canada|For additional information regarding investigative sites for this trial, contact 1-888-545-5972 Mon - Fri, 9 AM to 4 PM or 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time or speak with your personal physician., Toronto, Canada|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Glostrup, Denmark|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Glostrup, Denmark|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Helsinki, Finland|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Turku, Finland|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Lille, France|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Marseille, France|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Nice, France|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Paris, France|""For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician."", Paris, France|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri from 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST), or speak with your personal physician., Saint Etienne Cedex 2, France|Praxis Dr. Stude, Bochum, Germany|Universtitätsklinikum Essen AöR, Essen, Germany|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Hamburg, Germany|For additional information regarding investigative sites for this trial, contact 1-888-545-5972 Mon - Fri, 9 AM to 4 PM or 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time or speak with your personal physician., Jena, Germany|Migräne- und Kopfschmerzklinik GmbH & Co. KG, Königstein, Germany|Klinikum der Universität München Campus Großhadern, München, Germany|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Athens, Greece|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Athens, Greece|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Firenze, Italy|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Milano, Italy|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Pavia, Italy|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Amsterdam, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Nijmegen, Netherlands|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Barcelona, Spain|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Valencia, Spain|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Hull, United Kingdom|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Liverpool, United Kingdom|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., London, United Kingdom|For additional information regarding investigative sites for this trial, contact 1-877-CTLILLY (1-877-285-4559, 1-317-615-4559) Mon - Fri, 9 AM to 5 PM Eastern Time (UTC/GMT - 5 hours, EST) or speak with your personal physician., Stoke-on-Trent, United Kingdom",https://ClinicalTrials.gov/show/NCT02438826
3662,Sphenopalatine Ganglion Stimulation for the Treatment of Chronic Cluster Headache,"Active, not recruiting",No Results Available,Chronic Cluster Headache,Nervous System Diseases,Device: ATI Neurostimulation System,Industry,Interventional,2014-07-01,"Mayo Clinic, Phoenix, Arizona, United States|University of Southern California, Los Angeles, California, United States|Stanford University, Stanford, California, United States|Yale University, New Haven, Connecticut, United States|New England Institute for Clinical Research, Stamford, Connecticut, United States|University of Chicago, Illinois - SURGICAL CENTER ONLY, NOT AN ENROLLING CENTER, Chicago, Illinois, United States|Diamond Headache Clinic, Chicago, Illinois, United States|Robbins Headache Clinic, Northbrook, Illinois, United States|Norton Neurology Services, Louisville, Kentucky, United States|New England Regional Headache Center, Worcester, Massachusetts, United States|Michigan Headache and Neurological Institute, Ann Arbor, Michigan, United States|Mercy Health Research, Saint Louis, Missouri, United States|Headache Care Center (Springfield), Springfield, Missouri, United States|Nevada Headache Institute, Las Vegas, Nevada, United States|Dartmouth Hitchcock-Medical Center, Lebanon, New Hampshire, United States|Dent Neurosciences Research Institute, Amherst, New York, United States|Lenox Hill Hospital, The New York Head and Neck Institute - SURGICAL CENTER ONLY, NOT AN ENROLLING CENTER, New York, New York, United States|Mount Sinai Hospital, New York, New York, United States|Island Neurological Association, Plainview, New York, United States|Carolina Headache Institute, Durham, North Carolina, United States|The Ohio State University Wexner Medical Center, Columbus, Ohio, United States|Jefferson Headache Center, Thomas Jefferson University, Philadelphia, Pennsylvania, United States|University of Texas, Southwestern, Dallas, Texas, United States|Inova Medical Group Neurology and Headache, Falls Church, Virginia, United States",https://ClinicalTrials.gov/show/NCT02168764
596,Feasibility Study of ExAblate Thalamotomy for Treatment of Chronic Trigeminal Neuropathic Pain,Recruiting,No Results Available,Trigeminal Neuropathic Pain,Mouth and Tooth Diseases,Device: Transcranial ExAblate|Device: Sham Transcranial ExAblate,Industry,Interventional,2017-12-01,"University of Virginia, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT03309813
597,Acupuncture Approaches for Chronic Pain,Completed,No Results Available,Chronic Pain|Osteoarthritis|Neck Pain|Back Pain,Skin and Connective Tissue Diseases,Procedure: Group/Community Acupuncture|Procedure: Individual Acupuncture,Other,Interventional,2015-05-01,"Montefiore Medical Group, Bronx, New York, United States",https://ClinicalTrials.gov/show/NCT02456727
3001,Nutrition for Chronic Daily Headache,Completed,No Results Available,Chronic Daily Headache,Nervous System Diseases,Other: Diet A|Other: Diet B,Other,Interventional,2009-07-01,"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, United States",https://ClinicalTrials.gov/show/NCT01157208
599,Virtual Walking for Neuropathic Pain in Spinal Cord Injury,"Active, not recruiting",No Results Available,Spinal Cord Injury|Neuropathic Pain,Nervous System Diseases,Behavioral: Virtual walking|Behavioral: Wheeling tape,Other,Interventional,2012-09-01,"Spain REhabilitation Center, Birmingham, Alabama, United States",https://ClinicalTrials.gov/show/NCT01884662
600,Postpartum Analgesic Management of Patients at Risk for Prolonged Pain and Analgesic Use,Not yet recruiting,No Results Available,Opioid Use|Postpartum Disorder|Chronic Pain Syndrome,Nervous System Diseases,Drug: Gabapentin|Drug: Placebo,Other,Interventional,2019-04-01,"Lucille Packard Children's Hospital, Palo Alto, California, United States",https://ClinicalTrials.gov/show/NCT03472521
601,Functional Restoration and Integrative Therapies in Service Members With Neuromusculoskeletal Injury,Recruiting,No Results Available,Chronic Pain,Nervous System Diseases,Behavioral: Complementary and Integrative Therapies|Behavioral: Standard Rehabilitative Care,Other|U.S. Fed,Interventional,2018-06-15,"Madigan Army Medical Center, Tacoma, Washington, United States",https://ClinicalTrials.gov/show/NCT03297905
602,Combined Interventions for Treating Depression and Chronic Back Pain,Completed,No Results Available,Back Pain|Depression,Behaviors and Mental Disorders,Behavioral: Cognitive behavioral therapy|Drug: Antidepressants|Behavioral: Problem solving therapy,Other|NIH,Interventional,2004-10-01,"Group Health Cooperative, Seattle, Washington, United States",https://ClinicalTrials.gov/show/NCT00158275
603,Sub-Sensory Intraspinal Neurostimulation Therapy,Terminated,No Results Available,"Back Pain|Back Pain With Radiation|Pain in Leg, Unspecified","Muscle, Bone, and Cartilage Diseases",Other: Sub-Sensory Stimulation,Other,Observational,2013-10-01,"Comprehensive Pain and Rehabilitation, Pascagoula, Mississippi, United States",https://ClinicalTrials.gov/show/NCT01976598
3243,Do Patients With Chronic Daily Headache Have Continuous Headache or Moments of Headache Relief?,Completed,Has Results,Chronic Daily Headache,Nervous System Diseases,,Other,Observational,2009-04-01,"Jessica Ailani, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT00880425
3379,Intensive Meditation and Migraines: Effects on Health and Well Being,Completed,No Results Available,Chronic Daily Headache,Nervous System Diseases,Behavioral: Vipassana Meditation,Other,Interventional,2008-04-01,"Johns Hopkins School of Medicine, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT00663585
606,Pediatric Pain Rehabilitation Program,Recruiting,No Results Available,Pediatric Chronic Pain,Nervous System Diseases,Behavioral: Questionnaires,Other,Observational,2007-03-01,"Cleveland Clinic Children's Hospital for Rehabilitation, Cleveland, Ohio, United States",https://ClinicalTrials.gov/show/NCT01340261
3439,Atkins Diet for Difficult-to-Control Headaches in Teenagers,Completed,No Results Available,Chronic Daily Headache,Nervous System Diseases,Behavioral: Modified Atkins diet,Other,Interventional,2005-09-01,"Johns Hopkins Hospital, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT00181064
3335,"Analysis of Headache Chronification With Imaging, Deep Phenotyping, and Proteomics",Recruiting,No Results Available,Chronic Daily Headache|Chronic Migraine,Nervous System Diseases,,Other,Observational,2014-12-12,"Stanford University School of Medicine, Stanford, California, United States",https://ClinicalTrials.gov/show/NCT03231241
2757,Conversion to Embeda With Rescue Trial,Terminated,Has Results,Chronic Disease|Pain,Nervous System Diseases,Drug: morphine sulfate and naltrexone hydrochloride (EMBEDA),Industry,Interventional,2010-08-01,"Adamsville Family Medicine, Adamsville, Alabama, United States|Office of David McLain, Birmingham, Alabama, United States|Monte Sano Clinical Research, LLC, Huntsville, Alabama, United States|Tennessee Valley Pain Consultants Properties, LLC, Huntsville, Alabama, United States|Sunbelt Research Group, LLC, Mobile, Alabama, United States|Office of Vaughn H. Mancha, Jr., PC, Montgomery, Alabama, United States|Dedicated Clinical Research, Goodyear, Arizona, United States|Dedicated Clinical Research, Inc, Phoenix, Arizona, United States|Redpoint Research, Phoenix, Arizona, United States|Anasazi Internal Medicine, PC, Phoenix, Arizona, United States|Cochise Clinical Research, Sierra Vista, Arizona, United States|Premiere Phamaceutical Research, LLC, Tempe, Arizona, United States|Quality of Life Medical and Research Center, LLC, Tucson, Arizona, United States|Ouachita Regional Pain Management, Hot Springs, Arkansas, United States|NEA Baptist Clinic, Jonesboro, Arkansas, United States|Hollis Family Medical Clinic, PLC, Paragould, Arkansas, United States|CSI Clinical Trials, Costa Mesa, California, United States|Global Wellness Medical Corporation, Foothill Ranch, California, United States|Chrishard Medical Group, Inglewood, California, United States|Triwest Research Associates LLC, La Mesa, California, United States|Pacific Coast Pain Management Center, Laguna Hills, California, United States|Valerius Medical Group and Research Center of Greater Long Beach, Inc., Long Beach, California, United States|LA Pain & Wellness Institute, Los Angeles, California, United States|Samaritan Center for Medical Research, Los Gatos, California, United States|Newport Beach Clinical Research Associates, Inc., Newport Beach, California, United States|Bayview Research Group, LLC, Paramount, California, United States|Pasadena Rehabilitation Institute, Pasadena, California, United States|Quality Control Research, Inc., Roseville, California, United States|Northern California Research, Sacramento, California, United States|Quality Control Research, Inc., Sacramento, California, United States|Rancho Santa Fe Medical Group, Inc., San Marcos, California, United States|Probe Clinical Research Corporation, Santa Ana, California, United States|Trinity Clinical Trials, Santa Ana, California, United States|Facility Medical Center, Upland, California, United States|Bayview Research Group, LLC, Valley Village, California, United States|Rocky Mountain Internal Medicine, PC, Aurora, Colorado, United States|Clinicos, LLC, Colorado Springs, Colorado, United States|Saint Luke's Medical Clinic, LLC, Fort Collins, Colorado, United States|ProHealth Physicians PC, Manchester, Connecticut, United States|Milford Physician Services, PC, Milford, Connecticut, United States|Orthopedic Research Institute, LLC, Boynton Beach, Florida, United States|Florida Research & Testing, LLC, Clearwater, Florida, United States|Omega Research Consultants, LLC, Debary, Florida, United States|Omega Research Consultants, LLC, DeBary, Florida, United States|West Florida Medical Associate, PA, Dunnellon, Florida, United States|International Research Associates, LLC, Hialeah, Florida, United States|Palm Springs Research Institute, Inc, Hialeah, Florida, United States|FPA Clinical Research, LLC, Kissimmee, Florida, United States|Clinical Research of Central Florida, Inc., Lakeland, Florida, United States|NextPhase Clinical Trials, Inc., Miami Beach, Florida, United States|Community Research Foundation, Inc., Miami, Florida, United States|New Horizon Research Center, Inc., Miami, Florida, United States|Harmony Clinical Research, Inc., North Miami Beach, Florida, United States|Office of Laszlo J. Mate, MD, PA, North Palm Beach, Florida, United States|Office of Richard E. Promin, MD, PA, Ocala, Florida, United States|Advent Clinical Research Centers, Inc., Pinellas Park, Florida, United States|Pain Management Strategies, Inc., Pompano Beach, Florida, United States|Sarasota Pain Medicine Research, LLC, Sarasota, Florida, United States|Stedman Clinical Trials, LLC, Tampa, Florida, United States|Clinical Research Center, LLC, Wellington, Florida, United States|Perimeter Institute for Clinical Research, Inc., Atlanta, Georgia, United States|Medical Research and Health Education Foundation, Inc., Columbus, Georgia, United States|Ialum Clinical Research, LLC, Decatur, Georgia, United States|Ialum Clinical Research, LLC, Stone Mountain, Georgia, United States|Herman Clinical Research, LLC, Suwanee, Georgia, United States|Centers for Pain Management, Tifton, Georgia, United States|Chicago Clinical Research Institute Inc., Chicago, Illinois, United States|Creve Coeur Family Practice, Creve Coeur, Illinois, United States|Office of Rebecca Knight, MD, Peoria, Illinois, United States|Josephson Wallack Munshower Neurology P.C., Indianapolis, Indiana, United States|Laporte County Institute for Clinical Research Inc., Michigan City, Indiana, United States|McKinley Research, LLC, Mishawaka, Indiana, United States|Accelovance, Inc., South Bend, Indiana, United States|Des Moines Orthopaedic Surgeons, PC, West Des Moines, Iowa, United States|The Pain Treatment Center of the Bluegrass, Lexington, Kentucky, United States|Healing Options, Louisville, Kentucky, United States|Four Rivers Clinical Research, Inc., Paducah, Kentucky, United States|Lakewood Family Practice, Russell Springs, Kentucky, United States|Diseasebusters, LLC, College Park, Maryland, United States|Office of Steven C. Miller, MD, Pikesville, Maryland, United States|Beacon Clinical Research, LLC, Brockton, Massachusetts, United States|Ronald J. Rapoport, MD, PC, Fall River, Massachusetts, United States|Boston Paincare Center, Inc., Waltham, Massachusetts, United States|Clarkston Medical Group, PC, Clarkston, Michigan, United States|Apex Medical Research, AMR, Inc., Flint, Michigan, United States|East Michigan Medical Associates, Flint, Michigan, United States|PCM Medical Services, PC, Lansing, Michigan, United States|Remedica LLC, Rochester, Michigan, United States|Michigan Lifestyle Change and Health Center, PC, Sterling, Michigan, United States|MAPS Applied Research Center, Inc., Edina, Minnesota, United States|MAPS Applied Research Center, Inc., Shakopee, Minnesota, United States|Anesthesia and Pain Control Services, Biloxi, Mississippi, United States|CRC of Jackson, LLC, Jackson, Mississippi, United States|Midsouth Anesthesia Consultants, PLLC, Southhaven, Mississippi, United States|Patterson Medical Clinic, Inc., Florissant, Missouri, United States|Quality Clinical Research Inc., Florissant, Missouri, United States|Primary Care Medicine, PC, Jefferson City, Missouri, United States|The Reiter Foundation, Inc., Anaconda, Montana, United States|Medical Pain Relief Clinic, Omaha, Nebraska, United States|Omaha Clinical Research, PC, Omaha, Nebraska, United States|Atco Medical Associates, PC, Atco, New Jersey, United States|Office of John V. Bernard, MD, Belvidere, New Jersey, United States|Central Jersey Medical Research Center, Inc., Elizabeth, New Jersey, United States|Center for Pain Management, Hackensack, New Jersey, United States|Advocare Heights Primary Care, Haddon Heights, New Jersey, United States|NJ Heart, LLC, Linden, New Jersey, United States|Spine and Pain Centers, PA, Shrewsbury, New Jersey, United States|Premier Research, Inc., Trenton, New Jersey, United States|Adirondack Medical Research Center, Glens Falls, New York, United States|Long Island Gastrointestinal Research Group LLP, Great Neck, New York, United States|Drug Trials America, Inc., Hartsdale, New York, United States|Office of Roger Kasendorf, DO, Long Beach, New York, United States|Family Health Medical Services PLLC, Mayville, New York, United States|New York Spine & Wellness Center, North Syracuse, New York, United States|North American Partners in Pain Management, LLP, Valley Stream, New York, United States|Carolina Clinical Research and Consulting, LLC, Asheboro, North Carolina, United States|Carolina Clinical Research and Consulting, LLC, Asheboro, North Carolina, United States|Joint and Muscle Research Institute, Inc., Charlotte, North Carolina, United States|Catawba Valley Internal Medicine, Hickory, North Carolina, United States|Profen Research Network at ECMA, Jacksonville, North Carolina, United States|The Center For Clinical Research, LLC, Winston-Salem, North Carolina, United States|Medical Frontiers, LLC, Carlisle, Ohio, United States|Valley Medical Research, Centerville, Ohio, United States|Hightop Medical Research Center, Cincinnati, Ohio, United States|Sentral Clinical Research Services, Cincinnati, Ohio, United States|Delaware Smith Clinic Research, Delaware, Ohio, United States|Medical Frontiers, LLC, Franklin, Ohio, United States|Jeffrey J. Haggenjos, DO, Inc., New Lexington, Ohio, United States|Whole Family Medical Care LLC, Perrysburg, Ohio, United States|Office of Jocelyn F. Shimek, DO, Salem, Ohio, United States|Office of James Lassiter, Tiffin, Ohio, United States|Health Research Institute, LLC, Oklahoma City, Oklahoma, United States|Office of Siavash Nael, MD, Inc., Oklahoma City, Oklahoma, United States|Associates of Medicine/John D. Williams, MD, PLLC, Stillwater, Oklahoma, United States|Portland Rheumatology Clinic, LLC, Lake Oswego, Oregon, United States|Office of Joseph E. Yankee, DO, PC, Milwaukie, Oregon, United States|Pennsylvania Pain Specialists, PC, Allentown, Pennsylvania, United States|Ware Medical Associates, PC, Aston, Pennsylvania, United States|Altoona Center for Clinical Research, PC, Duncansville, Pennsylvania, United States|Kandra, Fierer, Kuskin Associates, Ltd., Harrisburg, Pennsylvania, United States|Onuorah Umeh, M.D. P.C, Philadelphia, Pennsylvania, United States|Founders Research Corporation, Philadelphia, Pennsylvania, United States|Progressive Pain Solutions, LLC, Wind Gap, Pennsylvania, United States|Hartwell Research Group, LLC, Anderson, South Carolina, United States|Low Country Rheumatology, PA, Charleston, South Carolina, United States|Pharmacorp Clinical Trials, Inc., Charleston, South Carolina, United States|Internal Medicine of Greer Research LLC, Greer, South Carolina, United States|Clinical Research Authority, LLC, Murrells Inlet, South Carolina, United States|Trident Institute of Medical Research, LLC, North Charleston, South Carolina, United States|Low Country Pain Center, LLC, Orangeburg, South Carolina, United States|Brown Clinic, PLLP, Watertown, South Dakota, United States|Chattanooga Medical Research, LLC, Chattanooga, Tennessee, United States|Comprehensive Pain Specialists, Hendersonville, Tennessee, United States|Corsicana Medical Research, PLLC, Corsicana, Texas, United States|DCT - Genesis Neighborhood Research, LLC, Dallas, Texas, United States|Southwest Urgent Care Center, El Paso, Texas, United States|Westbury Medical Clinic, Houston, Texas, United States|Accurate Clinical Research, Inc., Houston, Texas, United States|Medstar Clinical Research, Houston, Texas, United States|Texas Medical Research Associates, LLC, San Antonio, Texas, United States|Hillcrest Family Health Center, Division of Clinical Research, Waco, Texas, United States|Hillcrest Family Health Center, Waco, Texas, United States|Progressive Clinical Research, LLC, Bountiful, Utah, United States|Sentara Medical Group, NDC Medical Center, Norfolk, Virginia, United States|Washington Center for Pain Management PLLC, Edmonds, Washington, United States|Pain Care, PLLC, Huntington, West Virginia, United States",https://ClinicalTrials.gov/show/NCT01179191
611,Dry Needling vs Dry Needling With ES in Patients With Neck/Shoulder Pain,Recruiting,No Results Available,Myofascial Pain|Neck Pain|Shoulder Pain,"Muscle, Bone, and Cartilage Diseases",Procedure: Dry needling (DN)|Procedure: Dry needling with intramuscular electrical stimulation (DNES),Other,Interventional,2018-08-16,"University of Mary Hardin-Baylor, Belton, Texas, United States",https://ClinicalTrials.gov/show/NCT03638388
613,Change in Pain and Quality of Life Following SCS for Chronic Pain,Enrolling by invitation,No Results Available,"Pain, Chronic|Pain, Radiating|Pain, Back|Pain Syndrome","Muscle, Bone, and Cartilage Diseases",,Industry,Observational,2017-11-01,"KM Clinical Research Group, Murrieta, California, United States",https://ClinicalTrials.gov/show/NCT03421951
3488,The Synergy Trial: Methylphenidate Plus a CFS-Specific Nutrient Formula as a Treatment for Chronic Fatigue Syndrome,Unknown status,No Results Available,Chronic Fatigue Syndrome (CFS)|Myalgic Encephalomyelitis (ME),Nervous System Diseases,Drug: Methyl-P plus Nutrient Formula|Drug: Methyl-P plus Nutrient matched placebos,Industry,Interventional,2013-11-01,"Stanford Chronic Fatigue Syndrome/ME Initiative, Stanford, California, United States|Nova Southeastern University, Fort Lauderdale, Florida, United States|Susan Levine, MD, New York, New York, United States|Fatigue Consultation Clinic, Salt Lake City, Utah, United States",https://ClinicalTrials.gov/show/NCT01966276
3134,"A Pilot Study of Amygdala Retraining Program in Patients With Chronic Fatigue Syndrome, Chronic Fatigue and Fibromyalgia",Completed,No Results Available,Chronic Fatigue Syndrome|Chronic Fatigue|Fibromyalgia,"Muscle, Bone, and Cartilage Diseases",Behavioral: Amygdala Retraining Program,Other,Interventional,2009-10-01,"Mayo Clinic in Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT01046370
617,Prenatal Education About Reducing Labor Stress (PEARLS),Completed,No Results Available,Labor Pain|Tocophobia,labor,Behavioral: Mind in Labor (MIL): Working with Pain in Childbirth|Behavioral: Treatment as usual (TAU),Other,Interventional,2011-10-01,"The Osher Center for Integrative Medicine, San Francisco, California, United States",https://ClinicalTrials.gov/show/NCT02327559
618,Ultrasound Guided Trigeminal Nerve Block for Typical or Atypical Facial Pain,Completed,Has Results,Typical Facial Pain|Atypical Facial Pain,Mouth and Tooth Diseases,Drug: Bupivacaine|Drug: Triamcinolone|Drug: Dexamethasone,Other,Interventional,2013-11-01,"Anesthesiology Pain Medcine Center, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT02024724
619,Dynamic Quadriceps Muscle Stimulation for Treatment of Patellofemoral Pain,Completed,No Results Available,Patellofemoral Pain Syndrome|Anterior Knee Pain Syndrome,"Muscle, Bone, and Cartilage Diseases",Device: KneeStim mobile rehabilitation assistance device,Industry|Other,Interventional,2014-09-01,"Developmental Motor Control Lab; University of Texas at Austin, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT02243332
2879,Proteomics of Cerebrospinal Fluid in Chronic Fatigue Syndrome,Completed,No Results Available,Chronic Fatigue Syndrome|Fibromyalgia|Gulf War Illness|Multiple Chemical Sensitivity|Interstitial Cystitis|Irritable Bowel Syndrome,"Muscle, Bone, and Cartilage Diseases",,Other|NIH,Observational,2007-07-01,"Georgetown University Hospital, 3800 Reservoir Rd NW, Washington, District of Columbia, United States",https://ClinicalTrials.gov/show/NCT00810329
621,Comparing Sedara to Butorphanol in Early Labor,Unknown status,No Results Available,Labor Pain,labor,Drug: 50% Nitrous Oxide/50% Oxygen,Other,Interventional,2012-09-01,"West Penn Hospital, Pittsburgh, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT01636999
