Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
405,NCT03605966,Developing a Method to Objectively Measure Opioid Analgesia,,Recruiting,No Results Available,"Analgesics, Antipyretics and Anti-Inflammatory Drugs Causing Adverse Effects in Therapeutic Use",,Changes in Pupillary Dilation Reflex AUC|Pain Assessment by Visual Analog Scale (VAS)|Pupillary Dilation Reflex Amplitude|Changes in Pupillary Light Reflex Amplitude|Changes in Pupillary Light Reflex Latency|Changes in Pupillary Light Reflex Constriction Velocity,Julia Finkel|Children's Research Institute,All,"7 Years to 21 Years   (Child, Adult)",,40,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,6825,2018-07-01,2019-07-01,2019-12-01,2018-07-30,null,2018-07-30,"Children's National Health System, Washington, District of Columbia, United States","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/66/NCT03605966/Prot_SAP_000.pdf",https://ClinicalTrials.gov/show/NCT03605966
406,NCT00000306,Dextroamphetamine as Adjunct in Cocaine/Opiate Dependent Patients - 3,,Completed,No Results Available,Cocaine-Related Disorders|Opioid-Related Disorders,Drug: Dextroamphetamine,"Craving|Drug use|Medication compliance|Retention|Addiction severity|Mood indicators|Psychiatric interview|Effectiveness measures including psycho-social variables, side effects, and self-reported measures.",National Institute on Drug Abuse (NIDA)|University of Texas,All,18 Years to 45 Years   (Adult),Phase 2,140,NIH|Other,Interventional,Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Double|Primary Purpose: Treatment,NIDA-09262-3|P50-09262-3,1994-09-01,null,2001-09-01,1999-09-21,null,2017-01-12,"University of Texas Health Science Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00000306
407,NCT03308188,EMPOWER: Randomized Trial of Online Chronic Pain Management Program to Reduce Reliance on Opioid Analgesic Medications,,Enrolling by invitation,No Results Available,Chronic Pain,Behavioral: E-health program,Decrease in Morphine Equivalent Dose (MED)|Pain Intensity,University of Cincinnati|National Institute on Drug Abuse (NIDA),All,"25 Years to 80 Years   (Adult, Older Adult)",Not Applicable,400,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2017-2301|1R01DA044248-01,2018-02-05,2022-01-01,2022-01-01,2017-10-12,null,2018-03-06,"UC Health Primary Care practices, Cincinnati, Ohio, United States",,https://ClinicalTrials.gov/show/NCT03308188
408,NCT02040077,Evaluation of a Computerized Opioid Overdose Prevention Program,,Completed,Has Results,Computer + Fluency|Computer Only|Treatment as Usual,Behavioral: Computer + Fluency|Behavioral: Computer Only|Behavioral: Treatment as Usual,Knowledge Gain|Percent Participants Who Would Recommend the Intervention to a Family Member or Friend.,Johns Hopkins University|National Institute on Drug Abuse (NIDA),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,75,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Prevention,Opioid Overdose|R21DA035327,2015-01-01,2015-09-01,2015-09-01,2014-01-20,2017-09-26,2017-11-17,"Johns Hopkins University Bayview Medical Campus, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT02040077
409,NCT00149630,Pharmacogenetics of Disulfiram for Cocaine,Disulfiram,Completed,Has Results,Cocaine Dependence|Opioid Dependence,Drug: Disulfiram|Drug: Methadone|Behavioral: CBT|Other: Lactose,Urine Toxicology for Cocaine.|Retention by Treatment Condition.,Baylor College of Medicine|National Institute on Drug Abuse (NIDA)|Yale University,All,18 Years to 64 Years   (Adult),Phase 2,93,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",NIDA-18197-2|P50DA018197-02,2005-01-01,2009-12-01,2009-12-01,2005-09-08,2012-12-28,2017-03-15,"Michael E. DeBakey VA Medical Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00149630
410,NCT01870882,Attention Training for Opioid-maintained Cocaine Users,,Completed,No Results Available,Addiction|Cocaine|Methadone|Opiates,Behavioral: Attentional retraining|Behavioral: Control condition,Attentional bias for cocaine cues|Attentional bias for opioid cues|Retention of participants in treatment|Mean duration of sessions with the PED|self-reported craving for cocaine|Self-reported cocaine use|Self-reported opioid use|self-reported craving for opiates|Cocaine urine test results|opioid urine test results,Yale University,All,18 Years to 55 Years   (Adult),Phase 4,8,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",RL001,2013-06-01,2014-12-01,2015-06-01,2013-06-06,null,2015-07-17,"Department of Veterans Affairs Hospital, West Haven, Connecticut, United States",,https://ClinicalTrials.gov/show/NCT01870882
411,NCT00558870,Role of Methadone As Co-Opioid Analgesic,,Terminated,Has Results,Pain,Drug: Morphine|Drug: Methadone,Number of Participants With Objective Response (OR)|Dose Escalation Index at Day 15 (+/- 3 Days),M.D. Anderson Cancer Center,All,"18 Years and older   (Adult, Older Adult)",Phase 2,5,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",2006-0641|NCI-2012-01553,2007-11-01,2015-01-01,2015-01-01,2007-11-15,2016-04-05,2016-04-05,"University of Texas MD Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00558870
412,NCT03173131,Opioid Consumption After Orthopaedic Surgery,,Enrolling by invitation,No Results Available,Orthopedic Disorder,Behavioral: Pre-operative opioid counseling,Post operative opioid consumption,Thomas Jefferson University,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,280,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Care Provider, Investigator)|Primary Purpose: Supportive Care",17D.131,2017-06-01,2017-09-01,2017-10-01,2017-06-01,null,2017-06-01,"Thomas Jefferson University, Philadelphia, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT03173131
413,NCT02496403,Buprenorphine and Substance Abuse Services for Prescription Opioid Dependence,,"Active, not recruiting",No Results Available,Opiate Substitution Treatment,Behavioral: Standard Medical Management (SMM),Adherence to buprenorphine/naloxone using MPR|Abstinence using ASI|Health care utilization costs using ICER|Adherence to buprenorphine/naloxone using drug testing|Chronic Pain using the pain Interference scale|Quality of Life using PROMIS Global Health scale|Mental health using PHQ-9,Kaiser Permanente|National Institute on Drug Abuse (NIDA),All,"18 Years and older   (Adult, Older Adult)",Not Applicable,239,Other|NIH,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,CN-13-1592-H|R01DA036603,2015-12-01,2019-05-01,2019-05-01,2015-07-14,null,2018-06-08,"Kaiser Sacramento Chemical Dependency Recovery Program, Sacramento, California, United States",,https://ClinicalTrials.gov/show/NCT02496403
414,NCT03299920,Opioid Consumption After Knee Arthroscopy,,Recruiting,No Results Available,"Surgical Procedure, Unspecified|Orthopedic Disorder",Other: Standardized instructions|Other: Conventional instructions,Number of opioid medication doses taken,Giorgio Veneziano|Nationwide Children's Hospital,All,"up to 20 Years   (Child, Adult)",Not Applicable,40,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,IRB17-00710,2017-09-18,2019-12-31,2019-12-31,2017-10-03,null,2017-10-03,"Nationwide Children's Hospital, Columbus, Ohio, United States",,https://ClinicalTrials.gov/show/NCT03299920
415,NCT02240797,Kappa Opioid Receptor Imaging in Anorexia,,Terminated,No Results Available,Anorexia Nervosa,Other: Positron emission tomography (PET) imaging,"Volume of distribution (VT) (i.e., KOR binding) using [11C]PKAB and PET imaging",New York University School of Medicine|Yale University|Icahn School of Medicine at Mount Sinai,Female,18 Years to 55 Years   (Adult),,7,Other,Observational,Observational Model: Case Control|Time Perspective: Cross-Sectional,S13-00990,2014-09-01,2016-03-01,2016-03-01,2014-09-16,null,2016-08-17,"NYU School of Medicine, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT02240797
416,NCT03588910,Ambulatory Gynecologic Surgery: Finding the Optimal Opioid Prescription,,Not yet recruiting,No Results Available,Surgery,Drug: Acetaminophen|Drug: Ibuprofen 600 mg|Drug: Oxycodone,Number of oxycodone tablets used as reported by participants 1 day after surgery|Number of oxycodone tablets used as reported by participants 1 week after surgery|Self reported pain score on post operative day 1|Self reported pain score on post operative day 7|Additional contacts with provider,Montefiore Medical Center,Female,"18 Years and older   (Adult, Older Adult)",Phase 2,120,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,2018-8755,2018-08-01,2019-01-01,2019-01-01,2018-07-17,null,2018-07-17,"Montefiore Medical Center, Bronx, New York, United States",,https://ClinicalTrials.gov/show/NCT03588910
417,NCT02132221,Cessation of Long-term Opioid Therapy in Chronic Pain Patients,,Unknown status,No Results Available,Chronic Non-cancer Pain,Behavioral: Cognitive Behavioral Therapy,"Number of participants with daily opioid dose below 50% of initial dose|signs of hyperalgesia on Quantitative Sensory Testing (QST)|signs of hyperalgesia on QST|number of patients who are not prescribed opioids on daily basis (""full taper"")|Time to reach >50% taper.|Pain scores (Brief Pain Inventory)|Absolute opioid dose reduction|Functional Impairment|Number of patients who reach a full taper amongst those having not reached this outcome at 10 weeks.|Anxiety and depression (HADS).|Withdrawal (COWS measure).|Hedonic tone (SHAPS).",Massachusetts General Hospital|Brigham and Women's Hospital,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,50,Other,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,Partners IRB 2013P000881,2013-10-01,2014-11-01,2015-03-01,2014-05-07,null,2014-05-07,"Massachusetts General Hospital Center for Pain Medicine, Boston, Massachusetts, United States",,https://ClinicalTrials.gov/show/NCT02132221
418,NCT01559454,Buprenorphine and Methadone for Opioid-dependent Chronic Back Pain Patients,,Completed,Has Results,Low Back Pain,Drug: Methadone|Drug: Buprenorphine/naloxone,Analgesia|Illicit Drug Use|Cravings|Functioning|Depression|Treatment Retention,State University of New York at Buffalo,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 4,19,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,FMD0600908A,2012-02-01,2014-05-01,2014-05-01,2012-03-21,2017-02-20,2017-02-20,"UB/MD Family Medicine, Inc., Amherst, New York, United States",,https://ClinicalTrials.gov/show/NCT01559454
419,NCT03575377,"Opioid Use, Storage, and Disposal Among Pediatric Patients After Surgery",,Enrolling by invitation,No Results Available,Tonsillitis|Sleep Disordered Breathing|Hernia|Hydrocele|Hypospadias|Undescended Testicle|Circumcision,Other: Disposal Aid,Proper disposal of unused opioids|Quantity of opioid used after surgery|Quantity of opioid leftover after surgery|Opioid refill occurrence|Proper storage of opioids|Barriers to opioid disposal,Nationwide Children's Hospital|Ohio State University,All,1 Year to 17 Years   (Child),Not Applicable,192,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,IRB18-00157,2018-06-07,2019-05-31,2019-06-30,2018-07-02,null,2018-07-02,"Jennifer Cooper, Columbus, Ohio, United States",,https://ClinicalTrials.gov/show/NCT03575377
420,NCT01728909,Methadone Oxytocin Option,MOO,Completed,No Results Available,Substance Abuse|Opioid Dependence|Methadone Treatment,Drug: Oxytocin|Drug: Saline Nasal Spray,Computerized Social Cognition Tasks|Craving Questionnaires,"University of California, San Francisco|San Francisco Veterans Affairs Medical Center",Male,"18 Years and older   (Adult, Older Adult)",Early Phase 1,64,Other|U.S. Fed,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment",11-07691,2012-05-01,2014-10-01,2014-10-01,2012-11-20,null,2016-05-12,"San Francisco VA Medical Center, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT01728909
421,NCT01821430,Increased Sensitivity to Pain Caused by Opioids in People Who Have Abused Prescription Opioids,,Terminated,No Results Available,Chronic Pain,Drug: Pregabalin|Drug: Placebo,"Improved Pain Response, threshold and tolerance|Improvement in pain severity and daily functionality",Georgetown University|National Institute on Drug Abuse (NIDA),All,"21 Years to 65 Years   (Adult, Older Adult)",Phase 2,4,Other|NIH,Interventional,"Allocation: Randomized|Intervention Model: Single Group Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",Pro00000669|U01DA029580,2013-03-01,2016-02-01,2016-02-01,2013-04-01,null,2017-02-09,"Georgetown University, Washington, District of Columbia, United States",,https://ClinicalTrials.gov/show/NCT01821430
422,NCT03096353,Sensory and Opioid Mechanisms of Affective Touch,,Recruiting,No Results Available,Pain|Anxiety,,Effect of naloxone on touch pleasantness,National Center for Complementary and Integrative Health (NCCIH)|National Institutes of Health Clinical Center (CC),All,18 Years to 50 Years   (Adult),,30,NIH,Observational,Observational Model: Case-Crossover|Time Perspective: Cross-Sectional,170075|17-AT-0075,2017-08-01,2018-10-17,2019-10-17,2017-03-30,null,2018-08-09,"National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,https://ClinicalTrials.gov/show/NCT03096353
423,NCT03422211,A Prospective Assessment of Opioid Utilization Post-operatively in Sports Orthopaedic Surgeries,Opioids,Recruiting,No Results Available,"Narcotic Use|Postoperative Pain|Narcotic Abuse|Opioid Use|Opioid Abuse, Uncomplicated|Opioids; Harmful Use|Analgesic Drug Dependence|Orthopedic Disorder",Other: Questionnaire,Number of narcotic analgesics consumed,St. Louis University,All,"10 Years to 100 Years   (Child, Adult, Older Adult)",,300,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,28494,2017-11-16,2018-07-30,2018-11-30,2018-02-05,null,2018-02-05,"Cardinal Glennon, Saint Louis, Missouri, United States|Anheuser Busch Institute, Saint Louis, Missouri, United States|SSM Health St. Mary's Hospital - St. Louis, Saint Louis, Missouri, United States",,https://ClinicalTrials.gov/show/NCT03422211
424,NCT00706576,Treatment of Unresectable Hepatocellular Cancer With Opioid Growth Factor,,Completed,No Results Available,Hepatocellular Cancer,Drug: Infusion of opioid growth factor,Number of participants with opioid growth factor toxicity|Change in plasma opioid growth factor levels,University of Missouri-Columbia|Penn State University,All,"18 Years and older   (Adult, Older Adult)",Phase 1,14,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,26336,2008-06-01,2013-07-01,2013-07-01,2008-06-27,null,2017-08-02,"Penn State Hershey Medical Center, Hershey, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT00706576
425,NCT03090152,Minimal Opioid Use After Total Hip Replacement (THR),,Recruiting,No Results Available,"Osteoarthritis, Hip",Procedure: Periarticular injection (Deep injection)|Procedure: Periarticular injection (Superficial injection)|Drug: Bupivacaine|Drug: Placebo,Opioid use|Pain at rest|Pain with activity|Opioid side effects|Patient satisfaction|Post-operative pain|Neuropathic pain|Quality of recovery|Readiness for discharge time,"Hospital for Special Surgery, New York",All,"50 Years to 75 Years   (Adult, Older Adult)",Phase 4,180,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",2016-0721,2017-03-08,2018-12-31,2018-12-31,2017-03-24,null,2018-02-16,"Hospital for Special Surgery, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03090152
426,NCT02964000,Phoenix Thera-Lase for Treating Chronic Pain in Patients Taking Opioid on a PRN Basis,,Recruiting,No Results Available,Pain,Device: Low level 1 Watt|Device: Phoenix Thera-Lase System 42|Device: Phoenix Thera-Lase System 74,Reduce chronic pain|reduce of opioid analgesic dosage.|Level of physical activity|Quality of sleep,"Phoenix Thera-lase Systems, LLC",All,"25 Years to 65 Years   (Adult, Older Adult)",Not Applicable,75,Industry,Interventional,"Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment",20162211,2016-11-01,2017-12-01,2017-12-01,2016-11-15,null,2017-02-23,"Phoenix Thera-Lase Systems, Dallas, Texas, United States",,https://ClinicalTrials.gov/show/NCT02964000
427,NCT00580294,A Pilot Study of Switching From One Pain Medication to Another (Opioid Rotation),,Completed,Has Results,Pain,Drug: Oxymorphone,Change in Patient Global Impression of Change|Brief Pain Inventory,Icahn School of Medicine at Mount Sinai|Endo Pharmaceuticals,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,12,Other|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,GCO 07-0464,2007-11-01,2008-08-01,2008-08-01,2007-12-24,2016-02-03,2016-02-03,"Icahn School of Medcine at Mount Sinai, New York, New York, United States",,https://ClinicalTrials.gov/show/NCT00580294
428,NCT01100437,Safety Study to Assess Opiate Withdrawal Signs and Symptoms in Opioid Dependent Patients,,Terminated,Has Results,Chronic Pain,Drug: EMBEDA™ (morphine sulfate/naltrexone hydrochloride) crush|Drug: EMBEDA™ (morphine sulfate/naltrexone hydrochloride) whole,Number of Participants With Clinical Opiate Withdrawal Scale (COWS) Score Greater Than or Equal to (≥) 13 in the Treatment Phase|Average Numeric Pain Rating Scale (NPRS) in Titration/Stabilization and Maintenance Phases|Time to Reach Maximum Observed Plasma Concentration (Tmax) During the Treatment Phase|Maximum Observed Plasma Concentration (Cmax) During the Treatment Phase|Minimum Observed Plasma Concentration (Cmin) During the Treatment Phase|Apparent Oral Clearance (CL/F) During the Treatment Phase|Volume of Distribution (Vd/F)During the Treatment Phase|Plasma Decay Half-Life (t1/2) During the Treatment Phase|Area Under the Curve From Time Zero to End of Dosing Interval (AUC0-τ) During the Treatment Phase|Area Under the Curve From Time Zero to the Time of Last Measurable Concentration (AUC0-last) During the Treatment Phase|Area Under the Curve From Time Zero to Extrapolated Infinite Time [AUC (0 - ∞)] During the Treatment Phase,Pfizer,All,"21 Years and older   (Adult, Older Adult)",Phase 4,14,Industry,Interventional,"Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)",ALO-01-09-111|B4541002,2010-04-01,2011-03-01,2011-03-01,2010-04-09,2012-03-28,2012-07-13,"Lifetree Clinical Research, Salt Lake City, Utah, United States",,https://ClinicalTrials.gov/show/NCT01100437
429,NCT02473354,Predictors of Opioid-Induced Respiratory Depression (OIRD),(OIRD),Recruiting,No Results Available,Respiratory Depression,Drug: Remifentanil|Drug: Oxygen|Drug: Carbon dioxide,"Hypercapnic Ventilatory Response (HCVR) gradient based upon ETCO2 and Minute Volume|The proportion of subjects who are classified as low, medium, or high risk for Opioid Induced Respiratory Depression (OIRD).",Duke University,All,18 Years to 50 Years   (Adult),Phase 1,20,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research,Pro00060429,2015-04-01,2019-06-01,2019-06-01,2015-06-16,null,2018-06-08,"Duke University Health Systems, Durham, North Carolina, United States",,https://ClinicalTrials.gov/show/NCT02473354
430,NCT03229447,Facilitating MAT Acceptance & Implementation in Problem Solving & Felony Courts,,Recruiting,No Results Available,Improving Treatment for Opioid Use Disorder in Courts,Behavioral: eLearning Modules|Behavioral: Change Team Intervention,Enrollment in Medication Assisted Treatment|MAT referrals|MAT knowledge/attitudes|Willingness to refer clients to MAT|Barriers to MAT,"National Development and Research Institutes, Inc.|Treatment Alternatives for Safe Communities",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,96,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NationalDRI|R34DA038799,2016-04-15,2018-04-01,2018-04-01,2017-07-25,null,2017-07-25,"National Development and Research Institutes, Inc., New York, New York, United States",,https://ClinicalTrials.gov/show/NCT03229447
431,NCT00308555,Opioid and Cannabinoid Pharmacokinetic Interactions,,Completed,Has Results,Pain,Drug: Cannabis,Disposition Kinetics of Morphine and Oxycodone Before and After Cannabis Use,"University of California, San Francisco|National Institute on Drug Abuse (NIDA)",All,"18 Years and older   (Adult, Older Adult)",Phase 1,24,Other|NIH,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,CC # 064|1R21DA020831-01,2006-05-01,2009-03-01,2009-03-01,2006-03-29,2013-07-22,2016-12-09,"Community Consortium, San Francisco, California, United States",,https://ClinicalTrials.gov/show/NCT00308555
432,NCT02276989,Evaluation of a Compliance Marker in Prescription Opioid Abusers With Chronic Pain,,Withdrawn,No Results Available,Compliance|Chronic Pain,Drug: acetazolamide|Drug: Quinine|Drug: Riboflavin,"Pharmacokinetic profiles for each medication/tracer (assayed from blood and urine samples) and will include parameters such as AUC, CMAX, TMax, and t1/2.",Georgetown University,All,18 Years to 50 Years   (Adult),Phase 2,0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Other,2013-0751,2014-12-01,2016-01-01,2016-01-01,2014-10-28,null,2017-02-10,"Georgetown University, Washington, District of Columbia, United States",,https://ClinicalTrials.gov/show/NCT02276989
433,NCT00529230,Prevalence of Secondary Hypogonadism in Male Patients on Chronic Opioid Therapy for Cancer-Related Pain Syndromes,,Terminated,No Results Available,Advanced Cancer|Hypogonadism|Pain,Behavioral: Questionnaire|Other: Blood draws to assess gonadal function,Prevalence of secondary hypogonadism in male patients on chronic opioid therapy for cancer-related pain syndromes,M.D. Anderson Cancer Center,Male,"18 Years and older   (Adult, Older Adult)",,46,Other,Observational,Observational Model: Case Control|Time Perspective: Prospective,ID01-451,2001-12-01,2004-12-01,2004-12-01,2007-09-14,null,2012-08-01,"U.T.M.D. Anderson Cancer Center, Houston, Texas, United States",,https://ClinicalTrials.gov/show/NCT00529230
434,NCT00659035,Use of Driving Tests to Evaluate Patient Performance on Oral Opioids,OpDrive,"Active, not recruiting",No Results Available,Chronic Pain,,"Weaving, measured as standard deviation of lateral position.|Reaction time",Asokumar Buvanendran|Rush University Medical Center,All,"18 Years to 80 Years   (Adult, Older Adult)",,450,Other,Observational,Observational Model: Case-Control|Time Perspective: Cross-Sectional,ABuv111407,2008-04-01,2018-07-01,2018-07-01,2008-04-16,null,2017-09-27,"Rush University Medical Center, Chicago, Illinois, United States",,https://ClinicalTrials.gov/show/NCT00659035
435,NCT00383682,Efficacy of Opioids and Mexiletine for the Treatment of Postamputation Pain,,Completed,No Results Available,Amputation|Chronic Pain,Drug: morphine and mexiletine,Pain intensity (0-10 numerical rating scale)|Pain relief (0-100%)|Functional activity (Multidimensional Pain Inventory activity and interference subscales,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 2,60,NIH,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double|Primary Purpose: Treatment,"P01HD033990|Project 2, P01HD33990",1997-07-01,null,2003-04-01,2006-10-03,null,2006-10-03,"Johns Hopkins Hospital, Baltimore, Maryland, United States",,https://ClinicalTrials.gov/show/NCT00383682
436,NCT02226601,Aprepitant to Mitigate Opioids' Cognitive Side Effects,,Unknown status,No Results Available,Cognitive Dysfunction,Drug: Aprepitant|Drug: Placebo,cognitive function,University of Arizona,All,"18 Years to 85 Years   (Adult, Older Adult)",Not Applicable,50,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",CognAp,2014-10-01,2016-10-01,null,2014-08-27,null,2015-06-02,"University of Arizona Medical Center, Tucson, Arizona, United States",,https://ClinicalTrials.gov/show/NCT02226601
437,NCT02818036,An fMRI Study of Opioid-related Changes in Neural Activity,,Completed,No Results Available,Social Acceptance,Drug: Naltrexone|Drug: Placebo,"Neural activity (fMRI) in response to the scanner tasks (reading sentences and viewing pictures of known and unknown people)|self-reported feelings of connection (i.e. average of how connected, touched, warm did you feel) in response to the scanner tasks",University of Pittsburgh,All,18 Years to 35 Years   (Adult),Not Applicable,82,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science",PRO15010292,2016-08-01,2018-06-21,2018-06-21,2016-06-29,null,2018-07-09,"University of Pittsburgh, Pittsburgh, Pennsylvania, United States",,https://ClinicalTrials.gov/show/NCT02818036
438,NCT03137030,A Comparison of Plasma Concentrations of Hydrocodone and Acetaminophen After Administration of Different Amounts of Tablets of a New and a Marketed Tablet Formulation in Healthy Adults,,Withdrawn,No Results Available,"Opioid-Related Disorders|Pain, Acute|Pain, Postoperative",Drug: GRT7014 - Abuse Deterrend Tablet|Drug: Norco 5Mg-325Mg Tablet,"Maximum Plasma Concentration (Cmax) GRT7014 (1 and 10 Tablets)|Area under the plasma concentration curve from timepoint 0 to t (AUC0-t) GRT7014 (1 and 10 Tablets)|Area under the plasma concentration curve from timepoint 0 to infinity (AUC) GRT7014 (1 and 10 Tablets)|Maximum Plasma Concentration (Cmax) GRT7014 and Norco (1, 5 (optional) and 10 Tablets)|Area under the plasma concentration curve from timepoint 0 to t (AUC0-t) GRT7014 and Norco (1, 5 (optional) and 10 Tablets)|Area under the plasma concentration curve from timepoint 0 to infinity (AUC) GRT7014 and Norco (1, 5 (optional) and 10 Tablets)",Grünenthal GmbH,All,18 Years to 55 Years   (Adult),Phase 1,0,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HP7014-02|U1111-1184-8922,2017-09-01,2018-01-01,2018-01-01,2017-05-02,null,2017-07-21,"US001: PRA Health Sciences, Lenexa, Kansas, United States",,https://ClinicalTrials.gov/show/NCT03137030
439,NCT03137017,A Comparison of Plasma Concentrations of Hydrocodone and Acetaminophen After Administration of a New and a Marketed Tablet Formulation Under Fasted and Fed Conditions in Healthy Adults,,Withdrawn,No Results Available,"Opioid-Related Disorders|Pain, Acute|Pain, Postoperative",Drug: Norco 5Mg-325Mg Tablet|Drug: GRT7014 - Abuse Deterrent Tablet,Maximum Plasma Concentration (Cmax)|Area under the plasma concentration curve from timepoint 0 to t (AUC0-t)|Area under the plasma concentration curve from timepoint 0 to infinity (AUC),Grünenthal GmbH,All,18 Years to 55 Years   (Adult),Phase 1,0,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,HP7014-01|U1111-1183-5343,2017-09-01,2017-11-01,2017-11-01,2017-05-02,null,2017-07-21,"US001: PRA Health Sciences, Lenexa, Kansas, United States",,https://ClinicalTrials.gov/show/NCT03137017
