Conditions,start_year,Conditions_total,start_year_total
Chronic Pancreatitis,2015,1,318
Chronic Pancreatitis,2017,1,332
Chronic Pancreatitis|Chronic Pain,2017,1,332
Chronic Pancreatitis|Insulin Resistance|Normal or Mildly Abnormal Stool Fat Levels,2008,1,226
Chronic Pancreatitis|Pain,2013,1,284
Chronic Pelvic Pain,2012,1,300
Chronic Pelvic Pain|Interstitial Cystitis|Post Traumatic Stress Disorder|Fibromyalgia|Irritable Bowel Syndrome,2009,1,251
Chronic Peripheral Neuropathy Pain in Diabetics,2007,1,200
Chronic Phantom Limb Pain,2007,1,200
Chronic Physical Health Conditions,2013,1,284
Chronic Plantar Fasciitis,2014,1,328
Chronic Post Traumatic Headache,2014,1,328
Chronic Post-thoracotomy Pain|Acute Post-thoracotomy Pain|Post-thoracotomy Pain Syndrome,2018,1,279
Chronic Post-traumatic Headache,2011,1,283
Chronic Prostatitis (CP)|Chronic Pelvic Pain Syndrome (CPPS)|Painful Bladder Syndrome (PBS)|Benign Frequency Syndrome (BFS)|Benign Daytime Frequency Syndrome (BDFS),2007,1,200
Chronic Prostatitis With Chronic Pelvic Pain Syndrome,2009,1,251
Chronic Prostatitis With Chronic Pelvic Pain Syndrome,2013,1,284
Chronic Prostatitis With Chronic Pelvic Pain Syndrome,2017,1,332
Chronic Prostatitis With Chronic Pelvic Pain Syndrome|Prostatitis,2010,1,234
Chronic Prostatitis/Chronic Pelvic Pain Syndrome (CP/CPPS),2006,1,194
Chronic Prostatitis|Chronic Pelvic Pain Syndrome,2018,1,279
Chronic Prostatitis|Pelvic Pain,2006,1,194
Chronic Refractive Bicipital Pain,2015,1,318
Chronic Refractory Low Back and Leg Pain,2013,1,284
"Chronic Refractory Pain Associated With Failed Back Surgery Syndrome, Epidural Fibrosis, Peripheral Causalgia, Complex Regional Pain Syndrome",2005,1,136
Chronic Sacroiliac Joint Pain,2010,1,234
Chronic Shoulder Pain,2009,1,251
Chronic Sinusitis,2012,1,300
Chronic Sinusitis|Facial Pain Disorder|Depression,2009,1,251
Chronic Spine Pain|Fibromyalgia,2017,1,332
Chronic Stable Angina,2013,1,284
Chronic Stable Angina|Coronary Artery Disease|Atrial Fibrillation|Ventricular Tachycardia,2012,1,300
Chronic Tendinopathy,2012,1,300
Chronic Testicular Pain,2014,1,328
Chronic Thoracic Back Pain,2014,1,328
Chronic Urogenital Pain,2014,1,328
Chronic Widespread Pain|Chronic Insomnia,2016,1,316
Chronic Wrist Pain|Chronic Elbow Pain,2008,1,226
"Chronic, Intractable Pain of the Trunk and/or Lower Limbs",2017,1,332
"Chronic, Medically Refractory Headache",2010,1,234
"Chronic, Non Malignant Pain",2007,1,200
"Chronic, Non-neuropathic Back Pain",2016,1,316
Class IV Angina,2013,1,284
Class IV Angina,2016,1,316
Clavicle Fracture,2017,1,332
Cleft Palate,2011,1,283
Clinical Decision Making|Nonarthritic Hip Disease,2018,1,279
Cluster Headache,2006,1,194
Cluster Headache,2011,1,283
Cluster Headache,2013,1,284
Cluster Headache,2015,1,318
Cluster Headache,2016,1,316
Cluster Headache,2017,1,332
Cluster Headache - Episodic and Chronic,2016,1,316
Cluster Headache|Cluster Headaches and Other Trigeminal Autonomic Cephalgias|Paroxysmal Hemicrania|SUNCT|Hemicrania Continua|Trigeminal Neuralgia,2016,1,316
Cognitive Function,2016,1,316
Cognitive Pain Control,2010,1,234
"Cognitive/Functional Effects|Depression|Hematopoietic/Lymphoid Cancer|Malnutrition|Pain|Psychosocial Effects of Cancer and Its Treatment|Unspecified Adult Solid Tumor, Protocol Specific|Weight Changes",2008,1,226
Cognitive/Functional Effects|Malignant Neoplasm|Pain,2012,1,300
COLIC|BILIARY TRACT DISEASES,2014,1,328
Collapse of Thoracic Vertebra|Collapse of Lumbar Vertebrae,2012,1,300
"Colon Cancer|Colon Diverticulosis|Colonic Neoplasms|Colonic Diverticulitis|Pain, Postoperative|Ileus|Ileus Paralytic|Ileus; Mechanical|Constipation Drug Induced|Constipation|Rectum Cancer|Rectum Neoplasm",2017,1,332
Colon Cancer|Rectal Cancer|Colonic Diverticulosis,2010,1,234
Colon Cancer|Rectal Cancer|Colonic Diverticulosis,2016,1,316
Colonic Resection Procedures,2013,1,284
Colonoscopy|Real-time Maximum Insertion Pain,2018,1,279
Colorectal Cancer,2013,1,284
Colorectal Cancer,2016,1,316
Colorectal Cancer,2017,1,332
Colorectal Cancer|Colorectal Adenomas|Colorectal Polyps|Pain,2014,1,328
Colorectal Cancer|Depression|Fatigue|Liver Cancer|Pain|Pancreatic Cancer,2008,1,226
Colorectal Cancer|Diverticular Disease|Crohn Disease|Ulcerative Colitis,2018,1,279
Colorectal Cancer|Fatigue|Long-term Effects Secondary to Cancer Therapy in Adults|Pain|Psychosocial Effects of Cancer and Its Treatment,2006,1,194
Colorectal Disease,2012,1,300
Colorectal Disorders,2015,1,318
Colorectal Surgery,2011,1,283
Colorectal Surgery|TAP Blocks,2017,1,332
Colposcopy,2011,1,283
Combat Related Symptoms|Irritability|Anger,2007,1,200
Complex Regional Pain Syndrome,2006,1,194
Complex Regional Pain Syndrome,2008,1,226
Complex Regional Pain Syndrome,2014,1,328
Complex Regional Pain Syndrome,2015,1,318
Complex Regional Pain Syndrome,2016,2,316
Complex Regional Pain Syndrome (CRPS),2012,1,300
Complex Regional Pain Syndrome (CRPS),2013,1,284
Complex Regional Pain Syndrome (CRPS),2014,1,328
Complex Regional Pain Syndrome (CRPS),2016,1,316
Complex Regional Pain Syndrome (CRPS),2018,2,279
Complex Regional Pain Syndrome (CRPS)|Neuropathic Leg Pain,2011,1,283
Complex Regional Pain Syndrome I (CRPS I),2013,1,284
"Complex Regional Pain Syndrome, Type 1",2005,1,136
"Complex Regional Pain Syndrome, Type I",2005,1,136
"Complex Regional Pain Syndrome, Type I",2015,1,318
Complex Regional Pain Syndrome|Reflex Sympathetic Dystrophy,2015,1,318
Complex Regional Pain Syndrome|Sciatica,2016,1,316
Complex Regional Pain Syndromes,2017,1,332
Compliance|Chronic Pain,2014,1,328
Complication of Injection|Pain,2010,1,234
Complications; Cesarean Section|Pregnancy,2008,1,226
Compression of Spinal Nerve Root|Spinal Disorder|Low Back Pain,2012,1,300
Computer + Fluency|Computer Only|Treatment as Usual,2015,1,318
Congenital Bleeding Disorder|Haemophilia A|Haemophilia A With Inhibitors|Haemophilia B|Haemophilia B With Inhibitors,2013,1,284
Congenital Cystic Adenomatoid Malformation,2005,1,136
Congenital Heart Disease,2014,1,328
Congenital Sucrase-isomaltase Deficiency (CSID),2013,1,284
Connective Tissue|Musculoskeletal Pain,2012,1,300
Constipation,2006,2,194
Constipation,2007,3,200
Constipation,2008,1,226
Constipation,2013,1,284
Contraception,2007,1,200
Contraception,2013,2,284
Contraception,2015,2,318
Contraception,2016,1,316
Contraception|Inhalation of Nitrous Oxide,2014,1,328
Contraception|Pain,2011,1,283
Contraception|Pain,2014,1,328
Corneal Abrasion|Eye Trauma,2017,1,332
Corneal Endothelial Cell Loss|Ocular Pain|Ocular Inflammation|Cataract Surgery,2014,1,328
Corneal Pain|Chronic Pain|Neuropathic Pain,2012,1,300
Coronary Angiography|Chest Pain,2007,1,200
Coronary Arteriosclerosis|Angina Pectoris,2006,1,194
Coronary Artery Disease,2006,1,194
Coronary Artery Disease,2007,3,200
Coronary Artery Disease,2008,1,226
Coronary Artery Disease,2013,1,284
Coronary Artery Disease,2014,1,328
Coronary Artery Disease|Angina Pectoris,2011,1,283
Coronary Artery Disease|Angina Pectoris,2014,1,328
Coronary Artery Disease|Angina Pectoris,2015,1,318
Coronary Artery Disease|Angina Pectoris|Cardiac Valve Disease,2013,1,284
Coronary Artery Disease|Angina Pectoris|Chest Pain|Cardiovascular Diseases|CAD|CVD|Coronary Heart Disease|CHD,2014,1,328
Coronary Artery Disease|Angina Pectoris|Chest Pain|Cardiovascular Diseases|Coronary Heart Disease|CAD|CVD|CHD,2007,1,200
Coronary Artery Disease|Angina Pectoris|Chest Pain|Cardiovascular Diseases|Coronary Heart Disease|CAD|CVD|CHD,2011,1,283
Coronary Artery Disease|Angina Pectoris|Chest Pain|Cardiovascular Diseases|Coronary Heart Disease|CAD|CVD|CHD,2012,1,300
Coronary Artery Disease|Angina Pectoris|Chest Pain|Cardiovascular Diseases|Coronary Heart Disease|CAD|CVD|CHD,2013,1,284
Coronary Artery Disease|Angina Pectoris|Chest Pain|Cardiovascular Diseases|Coronary Heart Disease|CHD|CVD|CAD,2014,1,328
Coronary Artery Disease|Angina Pectoris|Unstable Angina|Acute Coronary Syndrome,2008,1,226
Coronary Artery Disease|Angina Pectoris|Unstable Angina|Acute Coronary Syndrome,2010,1,234
Coronary Artery Disease|Aortic Aneurysm|Pulmonary Embolism,2011,1,283
"Coronary Artery Disease|Atherosclerosis, Coronary|Myocardial Ischemia|Ischemic Heart Disease|Acute Coronary Syndrome|Angina Pectoris",2015,1,318
Coronary Artery Disease|Chest Pain,2005,1,136
Coronary Artery Disease|Chest Pain,2007,1,200
Coronary Artery Disease|Chest Pain|Acute Coronary Syndrome|Acute Myocardial Infarction,2018,1,279
Coronary Artery Disease|Chest Pain|Cardiovascular Diseases|Coronary Heart Disease|Angina Pectoris|CAD|CVD|CHD,2010,1,234
Coronary Artery Disease|Chest Pain|Coronary Atherosclerosis|Stress Testing,2007,1,200
"Coronary Artery Disease|Coronary Stenosis|Angina, Unstable|Angina, Stable",2017,1,332
Coronary Artery Disease|Myocardial Ischemia|Heart Disease,2005,1,136
"Coronary Artery Disease|Pain, Postoperative",2013,1,284
Coronary Artery Disease|Pain|Peripheral Nervous System Diseases|Polyneuropathy,2009,1,251
Coronary Artery Disease|Stable Angina,2016,1,316
Coronary Artery Disease|Sternal Pain,2018,1,279
Coronary Artery Diseases|Chest Pain,2006,1,194
Coronary Microvascular Disease,2014,1,328
Cough|Myalgia|Nasal Obstruction|Sore Throat|Headache|Fatigue|Fever,2010,1,234
Cough|Sore Throat|Nasal Congestion|Headache|Fever|Seasonal Influenza,2009,1,251
Cramps,2007,1,200
"CREST Syndrome|Peripheral Vascular Disease|Raynaud Disease|Scleroderma, Diffuse",2014,1,328
Critical Limb Ischemia,2006,1,194
Critical Limb Ischemia,2010,1,234
Critical Limb Ischemia,2014,1,328
Critical Limb Ischemia|Peripheral Arterial Disease|Peripheral Vascular Disease,2006,1,194
Critical Limb Ischemia|Peripheral Arterial Disease|Peripheral Vascular Disease,2010,1,234
Critically Ill,2015,1,318
Crohn's Disease|Abdominal Pain,2017,1,332
Crohn's Disease|Ulcerative Colitis,2010,1,234
CRPS|Chronic Regional Pain Syndrome,2014,1,328
Cryptogenic Sensory Polyneuropathy,2014,1,328
Cutaneous Leiomyomas|Hereditary Leiomyomatosis and Renal Cell Cancer,2008,1,226
Cystic Fibrosis,2010,1,234
Cystic Fibrosis|Abdominal Pain|Helicobacter Pylori Infection,2008,1,226
Cystic Fibrosis|Pancreatic Insufficiency,2009,1,251
"Cystitis, Interstitial",2006,1,194
"Cystitis, Interstitial",2008,2,226
"Cystitis, Interstitial",2010,1,234
"Cystitis, Interstitial",2015,1,318
"Cystitis, Interstitial|Dysmenorrhea|Migraine Disorders|Pelvic Pain|Endometriosis|Visceral Pain|Chronic Pain",2014,1,328
"Cystitis, Interstitial|Painful Bladder Syndrome",2015,1,318
"Cystitis, Interstitial|Painful Bladder Syndrome",2016,1,316
"Cystitis, Interstitial|Painful Bladder Syndrome",2017,1,332
"Cystitis, Interstitial|Pelvic Pain",2016,1,316
"Cystitis, Interstitial|Urologic Diseases|Urinary Bladder Diseases|Cystitis",2010,1,234
Cystoscopy|Lidocaine|Pain Perception,2016,1,316
Death|Pain|Dyspnea,2005,1,136
Deep Partial Thickness Burn|Full Thickness Burns,2011,1,283
"Deep Sedation|Ventilators, Mechanical|Critical Illness",2017,1,332
Deep Vein Thrombosis|DVT,2013,1,284
Defect of Articular Cartilage,2014,1,328
Defective; Circulation,2013,1,284
Degenerative Disc Disease,2005,1,136
Degenerative Disc Disease,2011,1,283
Degenerative Disc Disease,2012,1,300
Degenerative Disc Disease,2014,1,328
Degenerative Disc Disease,2015,1,318
Degenerative Disc Disease,2018,3,279
Degenerative Disc Disease Lumbar|Spinal Stenosis|Lumbar Spondylolisthesis,2013,1,284
Degenerative Disc Disease|Back Pain,2009,1,251
Degenerative Disc Disease|Herniated Disc|Spinal Stenosis|Spondylolithesis|Spinal Deformity|Cervical Myelopathy|Failed Back Surgery Syndrome|Spinal Cord Neoplasms,2009,1,251
Degenerative Disc Disease|Pain,2014,1,328
Degenerative Intervertebral Discs|Sciatic Radiculopathy|Low Back Pain,2018,1,279
Degenerative Joint Disease,2016,1,316
Degenerative Joint Disease of Hip and Knee.,2012,1,300
Degenerative Joint Disease of the Ankle,2012,1,300
"Degenerative Joint Disease|Osteoarthritis|Knee Injury, Trauma|Connective Tissue Disorder|Pain|Loss of Function",2012,1,300
Degenerative Sacroiliitis|Sacroiliac Joint Disruption,2012,2,300
Degenerative Sacroilitis|Sacroiliac Joint Disruption,2014,1,328
Dehydration,2013,1,284
Delayed Alcohol Induced Headache,2014,1,328
Delayed Onset Muscle Soreness,2013,1,284
Delayed Onset Muscle Soreness,2014,2,328
Delayed Onset Muscle Soreness,2015,1,318
"Delayed Onset Muscle Soreness, DOMS",2015,1,318
Delirium,2016,2,316
Delirium|Critical Illness,2012,1,300
Delirium|Ventilators|Pain|Agitation|Anxiety,2016,1,316
Dementia,2017,1,332
Dementia|Aggression|Pain,2011,1,283
Dementia|Pain,2017,1,332
Dental Anxiety|Pain|Drug Use|Opioid Use,2017,1,332
Dental Pain,2007,1,200
Dental Pain,2008,1,226
Dental Pain,2009,5,251
Dental Pain,2010,1,234
Dental Pain,2013,2,284
Dental Pain,2014,3,328
Dental Pain,2015,1,318
Dental Pain|Postoperative Pain,2009,1,251
Dental Pulp Disease,2006,1,194
Dental Pulp Diseases|Dental Pulp Necrosis|Nerve Root Pain Nec,2016,1,316
Dental Pulp Diseases|Dental Pulp Necrosis|Nerve Root Pain Nec,2018,1,279
Dental Pulp Necrosis|Periapical Periodontitis,2005,1,136
"Dental Research|Pharmaceutical Preparations, Dental",2017,1,332
Dentin Sensitivity,2016,1,316
Dentinal Hypersensitivity|Dental Pain,2009,1,251
Dentine Hypersensitivity,2012,2,300
Dentine Hypersensitivity|Dental Pain,2008,1,226
Depression,2007,1,200
Depression,2008,1,226
"Depression, Myalgia",2010,1,234
"Depression, Postpartum|Labor Pain",2017,1,332
"Depression, Postpartum|Pregnancy|Child Development|Pain|Labor Pain",2016,1,316
Depression|Anxiety|PTSD|Fibromyalgia|Chronic Fatigue Syndrome,2014,1,328
Depression|Back Pain,2010,1,234
Depression|Chronic Low Back Pain,2012,1,300
Depression|Chronic Pain|Substance Abuse,2011,1,283
Depression|Headaches Chronic|Migraine Disorders,2016,1,316
Depression|Pain|Dyspnea|Quality of Life,2012,1,300
"Depression|Pain|Unspecified Adult Solid Tumor, Protocol Specific",2006,1,194
Depression|Palliative Care|Cancer|Mental Disorder,2005,1,136
Depressive Symptoms|Clinical Depression,2013,1,284
Dermatologic Complications|Malignant Neoplasm|Pain,2012,1,300
Dermatologic Complications|Pain|Viral Infection,2011,1,283
Diabetes,2015,1,318
Diabetes Mellitus,2017,1,332
"Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2",2008,1,226
"Diabetes Mellitus, Type 1|Diabetes Mellitus, Type 2",2009,1,251
Diabetes Mellitus|Painful Distal Symmetric Sensorimotor Polyneuropathy,2012,1,300
Diabetes|Peripheral Neuropathy|Pain,2015,1,318
Diabetic Gastroparesis,2014,2,328
Diabetic Macular Edema,2015,1,318
Diabetic Nephropathy,2018,1,279
"Diabetic Neuralgia|Diabetic Neuropathies|Diabetic Neuropathy, Painful|Diabetic Polyneuropathy|Neuralgia, Diabetic",2007,1,200
Diabetic Neuropathic Pain,2007,1,200
Diabetic Neuropathic Pain,2011,1,283
Diabetic Neuropathic Pain,2012,1,300
Diabetic Neuropathic Pain|Chronic Low Back Pain,2008,1,226
Diabetic Neuropathies,2005,2,136
Diabetic Neuropathies,2006,1,194
Diabetic Neuropathies,2007,1,200
Diabetic Neuropathies,2018,1,279
Diabetic Neuropathies|Chronic Pain,2018,1,279
Diabetic Neuropathies|Pain,2006,1,194
Diabetic Neuropathies|Pain|Neuralgia,2005,1,136
Diabetic Neuropathy,2007,1,200
Diabetic Neuropathy,2009,1,251
Diabetic Neuropathy,2012,1,300
Diabetic Neuropathy,2013,1,284
"Diabetic Neuropathy, Painful",2005,1,136
"Diabetic Neuropathy, Painful",2006,2,194
"Diabetic Neuropathy, Painful",2008,1,226
"Diabetic Neuropathy, Painful",2010,1,234
"Diabetic Neuropathy, Painful",2014,1,328
"Diabetic Neuropathy, Painful; Diabetic Neuropathies",2013,1,284
"Diabetic Neuropathy, Painful|Diabetic Polyneuropathy",2010,1,234
Diabetic Neuropathy|Arthritis|Peripheral Arterial Disease|Plantar Fasciitis,2007,1,200
Diabetic Neuropathy|Chemotherapy Induced Neuropathy|HIV Neuropathy|Trauma Induced Neuropathy,2012,1,300
Diabetic Neuropathy|Pain|Peripheral Neuropathy,2007,1,200
Diabetic Peripheral Neuropathic Pain,2008,1,226
Diabetic Peripheral Neuropathic Pain,2009,1,251
Diabetic Peripheral Neuropathic Pain,2010,1,234
Diabetic Peripheral Neuropathic Pain,2011,1,283
Diabetic Peripheral Neuropathic Pain,2014,1,328
Diabetic Peripheral Neuropathy,2005,1,136
Diabetic Peripheral Neuropathy,2007,2,200
Diabetic Peripheral Neuropathy,2009,2,251
Diabetic Peripheral Neuropathy,2010,1,234
Diabetic Peripheral Neuropathy,2011,2,283
Diabetic Peripheral Neuropathy,2015,2,318
Diabetic Peripheral Neuropathy,2017,1,332
Diabetic Peripheral Neuropathy|Chronic Pain,2009,1,251
Diabetic Peripheral Neuropathy|Nerve Pain,2011,1,283
Diabetic Peripheral Neuropathy|Pain,2012,1,300
Diarrhea Predominant Irritable Bowel Syndrome,2014,1,328
Diarrhea|Exocrine Pancreatic Insufficiency|Abdominal Pain,2015,1,318
Diastasis Recti|Postpartum|Low Back Pain,2018,1,279
Disc Degeneration|Low Back Pain,2018,1,279
Disc Herniation With Radiculopathy,2006,1,194
Discogenic Pain,2018,1,279
Diseases of Oral Cavity Salivary Glands and Jaws,2018,1,279
Disorder of Knee,2014,1,328
Disorder of Urinary Stent|Ureteral Spasm|Ureteropelvic Junction Obstruction|Urolithiasis,2014,1,328
Distal Radius Fracture,2014,1,328
Distal Radius Fracture|Post Operative Pain Control,2016,1,316
Distorted Balance|Low Back Pain,2009,1,251
"Drug Effect|Rib Fractures|Rib Trauma|Surgical Procedure, Unspecified|Pain; Catheter (Other)|Nerve Pain|Local Infiltration|Anesthesia, Local|Intercostal Rib|Opioid Dependence|Chest Injury Trauma|Pneumonia",2017,1,332
Drug Interactions,2012,1,300
Drug Overdose,2013,1,284
Drug Usage,2015,1,318
"Drugs, Investigational",2010,2,234
Dry Eye Syndromes|Keratoconjunctivitis Sicca,2014,1,328
Dry Eye Syndromes|Keratoconjunctivitis Sicca,2016,2,316
Duration of Pain Relief,2013,2,284
Dysfunctional Voiding|Postoperative Pain,2016,1,316
Dysmenorrhea,2005,2,136
Dysmenorrhea,2006,1,194
Dysmenorrhea,2007,1,200
Dysmenorrhea,2018,1,279
Dysmenorrhea|Dyspareunia|Endometriosis|Pelvic Pain,2006,1,194
"Dysmenorrhea|Pain, Menstrual",2009,1,251
Dyspareunia,2013,1,284
Dyspareunia,2017,1,332
Dyspepsia and Other Specified Disorders of Function of Stomach,2006,1,194
Dysphagia|Dysphonia|Postoperative Pain,2016,1,316
Dysphagia|GERD|Abdominal Pain,2015,1,318
Dysphagia|Lung Cancer|Pain|Esophagitis,2012,1,300
Dysphagia|Pain|Stage I Oropharyngeal Squamous Cell Carcinoma|Stage II Oropharyngeal Squamous Cell Carcinoma|Stage III Oropharyngeal Squamous Cell Carcinoma,2012,1,300
Dyspnea|Fatigue|Nausea and Vomiting|Pain|Stage IV Breast Cancer,2014,1,328
Dystonia|Complex Regional Pain Syndromes,2017,1,332
Early Pregnancy Bleeding|Abdominal Pain,2012,1,300
"Effects of; Anesthesia, in Labor and Delivery|Pregnancy|Prolonged First Stage of Labor",2010,2,234
Elbow Fracture,2008,1,226
"Elbow Joint Destruction|Post-traumatic Lesions|Ankylosed Joints|Advanced Rheumatoid Arthritis|Joint Instability or Loss of Motion|Acute Comminuted Articular Fracture of Elbow Joint Surfaces|Bone Loss Contributing to Elbow Instability|Bilateral Ankylosis From Causes Other Than Active Sepsis|Post-traumatic, or Degenerative Arthritis With Incapacitating Pain",2015,1,318
Elective Reconstructive Surgery Population,2015,1,318
Embryo Transfer,2014,1,328
Emergence Agitation|Pain,2012,1,300
Emergence Agitation|Pain,2017,1,332
"End Stage Renal Disease|Sexual Dysfunction, Physiological|Pain|Depression",2008,1,226
Endometrial Cancer,2009,1,251
Endometriosis,2005,3,136
Endometriosis,2006,1,194
Endometriosis,2007,2,200
Endometriosis,2008,1,226
Endometriosis,2009,2,251
Endometriosis,2010,2,234
Endometriosis,2012,2,300
Endometriosis,2013,1,284
Endometriosis,2014,2,328
Endometriosis,2015,1,318
Endometriosis,2016,2,316
Endometriosis,2017,2,332
Endometriosis Related Pain,2017,2,332
"Endometriosis, Pain",2007,1,200
Endometriosis|Botulinum Toxin A|Chronic Pelvic Pain|Pelvic Muscle Spasms|Quality of Life,2012,1,300
Endometriosis|Infertility|Chronic Pelvic Pain|Tubal Ligation,2009,1,251
Endometriosis|Pain,2009,1,251
Endometriosis|Pelvic Pain|Dysmenorrhea,2017,1,332
Entrapment Neuropathy,2012,1,300
Eosinophilic Esophagitis,2009,1,251
Eosinophilic Esophagitis,2013,1,284
Epigastric Pain|Retrosternal Pain|Esophagitis|Gastrointestinal Symptoms,2006,1,194
Episodic Cluster Headache,2015,1,318
Episodic Cluster Headache,2017,1,332
Episodic Cluster Headache|Chronic Cluster Headache,2006,1,194
Episodic Cluster Headache|Chronic Cluster Headache,2016,1,316
Episodic Migraine,2008,1,226
Episodic Migraine Headache,2014,1,328
Erythema|Drainage|Bruising|Pain,2007,1,200
"Esophageal Cancer|Pain, Postoperative",2018,1,279
Esophageal Carcinoma|Hypopharyngeal Carcinoma|Laryngeal Carcinoma|Lymphoma|Mesothelioma|Metastatic Malignant Neoplasm in the Lung|Metastatic Malignant Neoplasm in the Pleura|Metastatic Malignant Neoplasm in the Spinal Cord|Non-Small Cell Lung Carcinoma|Sarcoma|Small Cell Lung Carcinoma|Thymic Carcinoma|Thymoma|Thyroid Gland Carcinoma,2014,1,328
Esophageal Diseases,2017,1,332
Evaluating Pharmacokinetics of Intranasal Ketorolac|Pain,2015,1,318
"Examination, Gynecological|Examination, Pelvic|Examination, Vaginal",2011,1,283
Exercise-induced Delayed Onset Muscle Soreness,2011,1,283
Extremity Injury,2011,1,283
Eye Enucleation|Eye Evisceration,2015,1,318
Eye Pain,2015,1,318
Fabry Disease|Neuropathic Pain,2012,1,300
Face Pain,2009,1,251
Facet Joint Pain,2014,1,328
Facet Joints; Degeneration|Neuropathy|Neuralgia,2013,1,284
Facetogenic Back Pain|Back Pain,2018,1,279
Facial Neuropathy,2005,1,136
Facial Pain,2010,1,234
Facial Pain,2017,1,332
Facial Wrinkles,2007,1,200
Failed Back Surgery Syndrome,2012,1,300
"Failed Back Surgery Syndrome|Back Pain|Pain in Leg, Unspecified",2013,1,284
Failed Back Surgery Syndrome|Pain|Back Pain,2010,1,234
Failed Back Surgery Syndrome|Post-laminectomy Syndrome,2013,1,284
Failed Back Surgery Syndrome|Post-Laminectomy Syndrome|Low Back Pain,2013,1,284
Fallopian Tube Cancer|Ovarian Cancer|Peritoneal Cavity Cancer,2012,1,300
Falls|Total Knee Arthroplasty (TKA)|Osteoarthritis,2014,1,328
"Fasciitis, Plantar",2013,1,284
"Fasciitis, Plantar",2015,1,318
"Fasciitis, Plantar",2016,1,316
"Fasciitis, Plantar",2018,1,279
Fat Pad Atrophy|Pain,2016,1,316
Fatigue|Chronic Low Back Pain,2013,1,284
Fatigue|Fibromyalgia|Pain|Complex Regional Pain Syndrome|Reflex Sympathetic Dystrophy,2008,1,226
"Fatigue|Lupus Erythematosus, Systemic|Pain, Chronic|Quality of Life|Sleep",2017,1,332
Fatigue|Musculoskeletal Pain|Cognitive Decline,2013,1,284
Fatigue|Nausea and Vomiting|Pain|Pancreatic Cancer,2008,1,226
Fatigue|Nausea and Vomiting|Pain|Recurrent Colon Cancer|Recurrent Rectal Cancer|Stage I-IVB Colon Cancer|Stage I-IVB Rectal Cancer,2011,1,283
Fatigue|Pain|Poor Sleep Quality,2010,1,234
"Fatigue|Unspecified Adult Solid Tumor, Protocol Specific",2005,1,136
Female Genital Diseases,2013,1,284
Female Patients With High Tone Pelvic Floor Dysfunction,2010,1,234
"Femoracetabular Impingement|Pain, Postoperative",2015,1,318
Femoral Fractures,2015,1,318
"Femoral Fractures|Pain, Postoperative",2011,1,283
"Femoro Acetabular Impingement|Pain, Postoperative",2018,1,279
"Femoro Acetabular Impingement|Pain, Postoperative|Hip Labral Tear",2013,1,284
Femoroacetabular Impingement,2013,1,284
"Fever|Labor Pain|Complication of Anesthesia During Pregnancy, Unspecified",2012,1,300
Fevers|Pain,2006,1,194
Fibrocystic Disease of Breast,2007,1,200
Fibrocystic Disease of Breast|Fibrocystic Changes of Breast|Fibrocystic Mastopathy|Pain,2005,1,136
Fibromyalgia,2005,10,136
Fibromyalgia,2006,13,194
Fibromyalgia,2007,7,200
Fibromyalgia,2008,12,226
Fibromyalgia,2009,12,251
Fibromyalgia,2010,16,234
Fibromyalgia,2011,10,283
Fibromyalgia,2012,7,300
Fibromyalgia,2013,6,284
Fibromyalgia,2014,4,328
Fibromyalgia,2015,4,318
Fibromyalgia,2016,1,316
Fibromyalgia,2017,8,332
Fibromyalgia,2018,6,279
Fibromyalgia Pain,2017,1,332
Fibromyalgia Syndrome,2005,1,136
Fibromyalgia Syndrome,2006,1,194
Fibromyalgia Syndrome,2007,1,200
"Fibromyalgia, Primary",2007,1,200
Fibromyalgia|Chronic Fatigue Syndrome,2009,1,251
Fibromyalgia|Chronic Pain,2013,1,284
Fibromyalgia|Chronic Pain,2014,1,328
Fibromyalgia|Chronic Pain,2015,1,318
Fibromyalgia|Chronic Pain|Depression,2008,1,226
Fibromyalgia|Chronic Pain|Myofascial Pain,2013,1,284
Fibromyalgia|Chronic Widespread Pain,2014,1,328
Fibromyalgia|Fibromyalgia Syndrome,2013,1,284
Fibromyalgia|Fibrositis,2006,1,194
Fibromyalgia|Insomnia,2006,1,194
Fibromyalgia|Irritable Bowel Syndrome|Chronic Fatigue Syndrome,2007,1,200
"Fibromyalgia|Irritable Bowel Syndrome|Fatigue Syndrome, Chronic",2009,1,251
"Fibromyalgia|Mitochondrial Diseases|Movement Disorders|Diabetes Mellitus, Type 2",2015,1,318
Fibromyalgia|Myofascial Pain Syndrome|Muscular Diseases|Musculoskeletal Disease|Rheumatic Diseases,2018,1,279
Fibromyalgia|Myofascial Pain Syndromes|Muscular Diseases|Musculoskeletal Diseases|Nervous System Diseases|Neuromuscular Diseases|Rheumatic Diseases,2015,1,318
Fibromyalgia|Myofascial Pain Syndromes|Muscular Diseases|Nervous System Diseases|Neuromuscular Diseases|Rheumatic Diseases|Musculoskeletal Diseases,2016,1,316
Fibromyalgia|Neurocognition,2011,1,283
Fibromyalgia|Obesity,2009,1,251
Fibromyalgia|Pain,2007,1,200
Fibromyalgia|Pain,2010,1,234
Fibromyalgia|Pain,2018,1,279
Fibromyalgia|Pain|Functional Status|Self-Efficacy|Distress,2005,1,136
